变量名,中文解释,单位/范围,备注
lowlevel.average_loudness,"平均响度（Essentia 的内部响度度量；通常与能量/响度感相关）",无量纲/相对值,"越大通常表示整体更响或能量更高（非 LUFS）"
lowlevel.barkbands_crest.dmean,"Bark 频带谱峰因子（crest factor）的帧间一阶差分均值","dB 或比值的统计量（实现相关）","crest=峰值/均值（或峰值/能量）反映瞬态/冲击感；dmean=相邻帧差分的平均"
lowlevel.barkbands_crest.dmean2,"Bark 频带谱峰因子的帧间二阶差分均值","同上","dmean2=二阶差分（变化的变化）平均，反映起伏加速度"
lowlevel.barkbands_crest.dvar,"Bark 频带谱峰因子的一阶差分方差",无量纲/统计量,"差分方差越大表示变化更不稳定"
lowlevel.barkbands_crest.dvar2,"Bark 频带谱峰因子的二阶差分方差",无量纲/统计量,"对“变化加速度”的波动程度"
lowlevel.barkbands_crest.max,"Bark 频带谱峰因子的最大值",无量纲/统计量,"全曲范围内的最大 crest"
lowlevel.barkbands_crest.mean,"Bark 频带谱峰因子的均值",无量纲/统计量,"均值越高通常瞬态越多/越尖"
lowlevel.barkbands_crest.median,"Bark 频带谱峰因子的中位数",无量纲/统计量,"对极端值更鲁棒"
lowlevel.barkbands_crest.min,"Bark 频带谱峰因子的最小值",无量纲/统计量,"最低瞬态/最平稳时刻的 crest"
lowlevel.barkbands_crest.stdev,"Bark 频带谱峰因子的标准差",无量纲/统计量,"全曲 crest 波动大小"
lowlevel.barkbands_crest.var,"Bark 频带谱峰因子的方差",无量纲/统计量,"=stdev^2"
lowlevel.barkbands_flatness_db.dmean,"Bark 频带谱平坦度（flatness，以 dB 表示）的帧间一阶差分均值","dB/统计量","flatness 越高越“噪声化/均匀”，越低越“谐波化/尖峰化”"
lowlevel.barkbands_flatness_db.dmean2,"Bark 平坦度（dB）的帧间二阶差分均值","dB/统计量","反映平坦度变化的加速度"
lowlevel.barkbands_flatness_db.dvar,"Bark 平坦度（dB）一阶差分方差","dB^2/统计量","变化越不稳方差越大"
lowlevel.barkbands_flatness_db.dvar2,"Bark 平坦度（dB）二阶差分方差","dB^2/统计量","对变化加速度的波动"
lowlevel.barkbands_flatness_db.max,"Bark 平坦度（dB）最大值","dB/统计量","最高噪声化/最均匀频谱时刻"
lowlevel.barkbands_flatness_db.mean,"Bark 平坦度（dB）均值","dB/统计量","整体噪声化程度"
lowlevel.barkbands_flatness_db.median,"Bark 平坦度（dB）中位数","dB/统计量","鲁棒中心趋势"
lowlevel.barkbands_flatness_db.min,"Bark 平坦度（dB）最小值","dB/统计量","最谐波化/最尖峰频谱时刻"
lowlevel.barkbands_flatness_db.stdev,"Bark 平坦度（dB）标准差","dB/统计量","平坦度随时间的起伏"
lowlevel.barkbands_flatness_db.var,"Bark 平坦度（dB）方差","dB^2/统计量","=stdev^2"
lowlevel.barkbands_kurtosis.dmean,"Bark 频带分布的峰度（kurtosis）一阶差分均值",无量纲/统计量,"峰度越大表示分布更尖/更重尾；差分描述其随时间变化"
lowlevel.barkbands_kurtosis.dmean2,"Bark 峰度二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.barkbands_kurtosis.dvar,"Bark 峰度一阶差分方差",无量纲/统计量,"变化不稳定程度"
lowlevel.barkbands_kurtosis.dvar2,"Bark 峰度二阶差分方差",无量纲/统计量,"变化加速度的不稳定程度"
lowlevel.barkbands_kurtosis.max,"Bark 峰度最大值",无量纲/统计量,"极端尖峰/重尾的时刻"
lowlevel.barkbands_kurtosis.mean,"Bark 峰度均值",无量纲/统计量,"整体频带分布尖峭程度"
lowlevel.barkbands_kurtosis.median,"Bark 峰度中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.barkbands_kurtosis.min,"Bark 峰度最小值",无量纲/统计量,"可能出现负值（比正态更平）"
lowlevel.barkbands_kurtosis.stdev,"Bark 峰度标准差",无量纲/统计量,"峰度随时间波动"
lowlevel.barkbands_kurtosis.var,"Bark 峰度方差",无量纲/统计量,"=stdev^2"
lowlevel.barkbands_skewness.dmean,"Bark 频带分布的偏度（skewness）一阶差分均值",无量纲/统计量,"偏度描述分布左右不对称；差分描述其变化"
lowlevel.barkbands_skewness.dmean2,"Bark 偏度二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.barkbands_skewness.dvar,"Bark 偏度一阶差分方差",无量纲/统计量,"变化不稳定程度"
lowlevel.barkbands_skewness.dvar2,"Bark 偏度二阶差分方差",无量纲/统计量,"变化加速度不稳定程度"
lowlevel.barkbands_skewness.max,"Bark 偏度最大值",无量纲/统计量,"最大右/左偏极端"
lowlevel.barkbands_skewness.mean,"Bark 偏度均值",无量纲/统计量,"整体偏斜方向与程度"
lowlevel.barkbands_skewness.median,"Bark 偏度中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.barkbands_skewness.min,"Bark 偏度最小值",无量纲/统计量,"可出现很大负值（强左偏）"
lowlevel.barkbands_skewness.stdev,"Bark 偏度标准差",无量纲/统计量,"偏度随时间波动"
lowlevel.barkbands_skewness.var,"Bark 偏度方差",无量纲/统计量,"=stdev^2"
lowlevel.barkbands_spread.dmean,"Bark 频带谱扩展（spread/离散度）一阶差分均值","Hz 或频带索引的统计量（实现相关）","spread 描述能量在频率轴上的“铺开程度”"
lowlevel.barkbands_spread.dmean2,"Bark spread 二阶差分均值","同上","变化加速度"
